ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,section,section_target_pct,layer,portfolio_weight,thesis
XOM,2026-07-25T05:39:45.972170+00:00,326008000000.0,650508042240.0,1.9953744762091727,1.806060248339079,1.9176696901281531,1.9846353552015976,383766720670.0,0.17716964206399832,1.6950611066647703,360180698754.7794,0.10482165699853807,-0.07234798506546025,0.6111343477224649,0.0,Forward Expectations Manageable,1.806060248339079,Historical Median Tactical Anchor,low,2,quarterly,0.20443670093985425,0.09030146499472405,0.0776484012662266,0.6091939742195993,42.48051948051948,18792000000.0,0.05764275723295134,0.7423560085328277,Solid,ENERGY & COMMODITY,0.18,Layer 2: Baseload Energy,0.011999999999999999,"Uranium pure-plays for nuclear baseload, oil sands, natural gas, and integrated global supermajors."
SU,2026-07-25T05:39:45.972170+00:00,54469000000.0,77704839168.0,1.426588319374323,1.2070135335293868,1.3130684180585546,1.3767013487760553,55090291050.0,0.011406323780499106,1.4104997030688222,64377769601.95794,0.1819157612946436,0.1705094375141445,14.736391607397058,93.72988700961176,Forward Expectations Stretched,1.2070135335293868,Historical Median Tactical Anchor,low,2,quarterly,0.41943123611595584,0.15691494244432613,0.11619453266995906,0.7109153628187754,11.157963446475195,7232000000.0,0.13277276983238173,1.1426765681782272,Solid,ENERGY & COMMODITY,0.18,Layer 2: Baseload Energy,0.011999999999999999,"Uranium pure-plays for nuclear baseload, oil sands, natural gas, and integrated global supermajors."
EQT,2026-07-25T05:39:45.972170+00:00,9551453000.0,33171113984.0,3.4728866889676366,3.935655032552444,3.9541261440366604,3.965208810927191,9436231340.0,-0.012063259904016688,3.5152925769621923,8428359119.291785,-0.11758356353826116,-0.10552030363424447,,89.74069203125372,Forward Expectations Stretched,3.935655032552444,Historical Median Tactical Anchor,low,2,quarterly,0.5179725011472076,0.4307587547151203,0.34385731678729925,0.806240611860518,9.845279885523674,4052551000.0,0.42428633633018975,1.2339023066146988,Solid,ENERGY & COMMODITY,0.18,Layer 2: Baseload Energy,0.011999999999999999,"Uranium pure-plays for nuclear baseload, oil sands, natural gas, and integrated global supermajors."
CVX,2026-07-25T05:39:45.972170+00:00,185887000000.0,387943301120.0,2.0869845719173474,1.9243598309143686,2.0183905478676127,2.0748089780395595,210868078890.0,0.13438852039142057,1.8397440862652894,201596029436.79556,0.08450848868826522,-0.04988003170315536,0.643385369243921,0.0,Forward Expectations Manageable,1.9243598309143686,Historical Median Tactical Anchor,low,2,quarterly,0.30233959340889893,0.08391657297175166,0.05922415230758472,0.9647582391147462,11.554814814814815,13781000000.0,0.0741364377282973,1.2517939867381234,Solid,ENERGY & COMMODITY,0.18,Layer 2: Baseload Energy,0.011999999999999999,"Uranium pure-plays for nuclear baseload, oil sands, natural gas, and integrated global supermajors."
FCX,2026-07-25T05:39:45.972170+00:00,26421000000.0,89991241728.0,3.40604979856932,3.1605554576658488,3.242409667312939,3.2915221931011933,34961285610.0,0.32323854547519026,2.5740255301784365,28473236092.0067,0.07767442912859845,-0.2455641163465918,0.26708380488556605,0.0,Forward Expectations Manageable,3.1605554576658488,Historical Median Tactical Anchor,low,2,quarterly,0.2818212785284433,0.2512016956209076,0.10344044510048825,0.6786150712830957,16.070217917675546,1752000000.0,0.06631088906551606,0.6410537870472008,Solid,ENERGY & COMMODITY,0.18,Layer 3: Industrial Materials,0.0045,"Copper/iron mining for global electrification, efficient steel production, and heavy construction/machinery standard equipment."
SCCO,2026-07-25T05:39:45.972170+00:00,14549500000.0,140569165824.0,9.661443061548507,9.104797852633276,9.271605591779888,9.371690235267856,16025617160.0,0.101454837623286,8.771529010118947,15439021063.31167,0.06113756921623903,-0.04031726840704697,0.6140986570055426,0.0,Forward Expectations Manageable,9.104797852633276,Historical Median Tactical Anchor,low,2,quarterly,0.5594900168390666,0.546169971476683,0.341303824873707,0.27664593370645246,21.64669027512939,4275800000.0,0.2938795147599574,0.861049579121189,Solid,ENERGY & COMMODITY,0.18,Layer 3: Industrial Materials,0.0045,"Copper/iron mining for global electrification, efficient steel production, and heavy construction/machinery standard equipment."
NEM,2026-07-25T05:39:45.972170+00:00,25767000000.0,98193588224.0,3.810827345985175,4.385271441607597,4.5937743774049125,4.718876138883302,29060002750.0,0.12779922963480428,3.3789944573904074,22391678492.76924,-0.13099396542984276,-0.25879319506464704,0.0,100.0,Forward Expectations Stretched,4.385271441607597,Historical Median Tactical Anchor,low,2,quarterly,0.5906779989909574,0.5522567625257112,0.33364380797143633,-0.21268237934904602,89.49685534591195,9733000000.0,0.37773120658206233,1.1321391182970804,Solid,ENERGY & COMMODITY,0.18,Layer 3: Industrial Materials,0.0045,"Copper/iron mining for global electrification, efficient steel production, and heavy construction/machinery standard equipment."
COP,2026-07-25T05:39:45.972170+00:00,58188000000.0,146512035840.0,2.5179080882656217,2.3660279625691794,2.5392964577375063,2.6432575548385024,66651589649.0,0.1454524927648313,2.1981776670528093,61923205540.18651,0.06419202481931863,-0.08126046794551267,0.45814406499435467,0.0,Forward Expectations Manageable,2.3660279625691794,Historical Median Tactical Anchor,low,2,quarterly,0.24071973602804703,0.18063861964666253,0.12583350519007355,0.7086869999593876,8.552481692432872,5853000000.0,0.10058775005155703,0.7993717563507239,Solid,ENERGY & COMMODITY,0.18,Layer 3: Industrial Materials,0.0045,"Copper/iron mining for global electrification, efficient steel production, and heavy construction/machinery standard equipment."
NUE,2026-07-25T05:39:45.972170+00:00,34160000000.0,56379547648.0,1.6504551419203748,1.1592232608316042,1.1653574088031098,1.1690378975860132,39611430090.0,0.1595851899882903,1.4233151269697064,48635624864.492805,0.42375951008468404,0.26417432009639374,2.386163154381459,62.34062335110808,Forward Expectations Stretched,1.1592232608316042,Historical Median Tactical Anchor,low,2,quarterly,0.13975409836065575,0.10122950819672132,0.06823770491803278,0.9731770315914962,21.88607594936709,532000000.0,0.01557377049180328,0.22822822822822822,Solid,ENERGY & COMMODITY,0.18,Layer 3: Industrial Materials,0.0045,"Copper/iron mining for global electrification, efficient steel production, and heavy construction/machinery standard equipment."
PH,2026-07-25T05:39:45.972170+00:00,20987074000.0,124515352576.0,5.932954378299709,5.504331661013535,5.534922300076554,5.5532766835143645,22640317890.0,0.07877438703461004,5.4997175031273375,22621339018.854195,0.07787007463995188,-0.0009043123946581577,0.98894002190361,0.0,Forward Expectations Manageable,5.504331661013535,Historical Median Tactical Anchor,low,2,quarterly,0.37227547775359254,0.2086778747718715,0.16582454514621714,1.6177966874076042,10.809270297286291,3678392000.0,0.1752694063021839,1.0569569550010747,Solid,ENERGY & COMMODITY,0.18,Layer 3: Industrial Materials,0.0045,"Copper/iron mining for global electrification, efficient steel production, and heavy construction/machinery standard equipment."
